Value,year,month
0.29,1854,1
0.02,1854,2
-0.12,1854,3
-0.11,1854,4
-0.1,1854,5
0.11,1854,6
-0.44,1854,7
-0.89,1854,8
-1.02,1854,9
-1.38,1854,10
-1.59,1854,11
-1.32,1854,12
0.16,1855,1
0.37,1855,2
0.54,1855,3
-0.05,1855,4
-0.57,1855,5
-0.75,1855,6
-0.71,1855,7
-0.21,1855,8
-0.46,1855,9
0.1,1855,10
0.37,1855,11
0.92,1855,12
1.07,1856,1
1.25,1856,2
0.8,1856,3
0.21,1856,4
-0.23,1856,5
-0.09,1856,6
-0.07,1856,7
-0.47,1856,8
-0.63,1856,9
-0.31,1856,10
0.18,1856,11
0.18,1856,12
-0.3,1857,1
-0.7,1857,2
-0.63,1857,3
-0.24,1857,4
0.77,1857,5
1.36,1857,6
1.19,1857,7
1.32,1857,8
0.6,1857,9
0.62,1857,10
0.82,1857,11
0.55,1857,12
0.15,1858,1
-0.18,1858,2
-0.57,1858,3
-0.07,1858,4
0.27,1858,5
0.65,1858,6
0.22,1858,7
0.26,1858,8
0.33,1858,9
0.29,1858,10
0.43,1858,11
0.28,1858,12
-0.14,1859,1
-0.32,1859,2
-0.9,1859,3
-1.13,1859,4
-1.06,1859,5
-0.74,1859,6
-0.78,1859,7
-0.59,1859,8
-0.77,1859,9
-0.47,1859,10
-0.39,1859,11
-0.75,1859,12
-0.82,1860,1
-0.94,1860,2
-1.05,1860,3
-0.89,1860,4
-0.62,1860,5
-0.48,1860,6
-0.7,1860,7
-0.25,1860,8
-0.27,1860,9
-0.49,1860,10
-0.79,1860,11
-0.76,1860,12
-0.69,1861,1
-0.54,1861,2
-0.52,1861,3
-0.46,1861,4
-0.48,1861,5
-0.34,1861,6
-0.38,1861,7
-0.35,1861,8
-0.42,1861,9
-0.53,1861,10
-0.56,1861,11
-0.55,1861,12
0.18,1862,1
0.16,1862,2
0.15,1862,3
0.22,1862,4
0.31,1862,5
0.86,1862,6
0.41,1862,7
0.36,1862,8
0.27,1862,9
0.24,1862,10
0.2,1862,11
0.1,1862,12
0.59,1863,1
0.61,1863,2
0.62,1863,3
0.66,1863,4
0.63,1863,5
0.73,1863,6
